count,algorithm,dataset,time_per_char_us_mean,elapsed_mean_s
1000000,std::sort,random,0.0233527,0.32678
1000000,std::sort,prefix_heavy,0.0225098,0.288065
1000000,std::sort,wiki_random,0.0186586,0.390889
1000000,std::sort,wiki_heavy,0.0129686,0.398483
1000000,multikey_quicksort,random,0.0288549,0.403774
1000000,multikey_quicksort,prefix_heavy,0.028674,0.366949
1000000,multikey_quicksort,wiki_random,0.0149702,0.31362
1000000,multikey_quicksort,wiki_heavy,0.0085976,0.264177
1000000,burstsort,random,0.0180584,0.252695
1000000,burstsort,prefix_heavy,0.0294421,0.376779
1000000,burstsort,wiki_random,0.0134822,0.282445
1000000,burstsort,wiki_heavy,0.0103582,0.318275
1000000,c_burstsort,random,0.0175623,0.245753
1000000,c_burstsort,prefix_heavy,0.02496,0.319421
1000000,c_burstsort,wiki_random,0.0150498,0.315287
1000000,c_burstsort,wiki_heavy,0.0110052,0.338154
1000000,msd_radix_sort,random,0.0134444,0.18813
1000000,msd_radix_sort,prefix_heavy,0.018842,0.241127
1000000,msd_radix_sort,wiki_random,0.0161688,0.338729
1000000,msd_radix_sort,wiki_heavy,0.0147015,0.451731
1000000,merge_sort,random,0.036484,0.510529
1000000,merge_sort,prefix_heavy,0.0349501,0.447266
1000000,merge_sort,wiki_random,0.0232917,0.48795
1000000,merge_sort,wiki_heavy,0.0133468,0.410105
1000000,lazy_funnelsort,random,0.0387511,0.542253
1000000,lazy_funnelsort,prefix_heavy,0.0367198,0.469914
1000000,lazy_funnelsort,wiki_random,0.0269489,0.564567
1000000,lazy_funnelsort,wiki_heavy,0.0152534,0.468687
