dataset,count,seed,algorithm,elapsed_seconds,sorted_correctly,total_length
random,100000,0,std::sort,0.049275,True,1398005
prefix_heavy,100000,0,std::sort,0.0406975,True,1280420
wiki_random,100000,0,std::sort,0.032916,True,2095555
wiki_heavy,100000,0,std::sort,0.0254025,True,3072759
random,100000,0,multikey_quicksort,0.0403156,True,1398005
prefix_heavy,100000,0,multikey_quicksort,0.0336441,True,1280420
wiki_random,100000,0,multikey_quicksort,0.030065,True,2095555
wiki_heavy,100000,0,multikey_quicksort,0.018214,True,3072759
random,100000,0,burstsort,0.0326874,True,1398005
prefix_heavy,100000,0,burstsort,0.0574811,True,1280420
wiki_random,100000,0,burstsort,0.0240596,True,2095555
wiki_heavy,100000,0,burstsort,0.0323972,True,3072759
random,100000,0,c_burstsort,0.0688662,True,1398005
prefix_heavy,100000,0,c_burstsort,0.0287004,True,1280420
wiki_random,100000,0,c_burstsort,0.0385281,True,2095555
wiki_heavy,100000,0,c_burstsort,0.0302265,True,3072759
random,100000,0,msd_radix_sort,0.0248199,True,1398005
prefix_heavy,100000,0,msd_radix_sort,0.0232326,True,1280420
wiki_random,100000,0,msd_radix_sort,0.0574419,True,2095555
wiki_heavy,100000,0,msd_radix_sort,0.0772605,True,3072759
random,100000,0,lazy_funnelsort,0.04885,True,1398005
prefix_heavy,100000,0,lazy_funnelsort,0.0458757,True,1280420
wiki_random,100000,0,lazy_funnelsort,0.0440818,True,2095555
wiki_heavy,100000,0,lazy_funnelsort,0.029605,True,3072759
random,100000,1,std::sort,0.0343088,True,1401879
prefix_heavy,100000,1,std::sort,0.0331735,True,1280158
wiki_random,100000,1,std::sort,0.0269645,True,2089841
wiki_heavy,100000,1,std::sort,0.0240059,True,3072759
random,100000,1,multikey_quicksort,0.0747173,True,1401879
prefix_heavy,100000,1,multikey_quicksort,0.0411175,True,1280158
wiki_random,100000,1,multikey_quicksort,0.0334386,True,2089841
wiki_heavy,100000,1,multikey_quicksort,0.0499305,True,3072759
random,100000,1,burstsort,0.0301342,True,1401879
prefix_heavy,100000,1,burstsort,0.0345614,True,1280158
wiki_random,100000,1,burstsort,0.0254552,True,2089841
wiki_heavy,100000,1,burstsort,0.022501,True,3072759
random,100000,1,c_burstsort,0.0290484,True,1401879
